ID,Date,Day,"High Temp","Low Temp",Precipitation,"Brooklyn Bridge","Manhattan Bridge","Williamsburg Bridge","Queensboro Bridge",Total,ID,Date,Day,"High Temp","Low Temp",Precipitation,"Brooklyn Bridge","Manhattan Bridge","Williamsburg Bridge","Queensboro Bridge",Total
15,"2016-04-16 00:00:00","2016-04-16 00:00:00",66,45,0,2384,4316,5624,4051,16375,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
16,"2016-04-17 00:00:00","2016-04-17 00:00:00",73.9,46,0,3147,4969,5867,4197,18180,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
17,"2016-04-18 00:00:00","2016-04-18 00:00:00",81,52,0,3871,6823,7432,4964,23090,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
18,"2016-04-19 00:00:00","2016-04-19 00:00:00",71.1,63,0,3501,6951,7834,5032,23318,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
19,"2016-04-20 00:00:00","2016-04-20 00:00:00",68,50,0,3450,6574,7639,4928,22591,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
20,"2016-04-21 00:00:00","2016-04-21 00:00:00",71.1,50,0,3436,6452,7426,4813,22127,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
21,"2016-04-22 00:00:00","2016-04-22 00:00:00",78.1,63,T,2975,4907,6093,3862,17837,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
22,"2016-04-23 00:00:00","2016-04-23 00:00:00",70,61,0.16,2055,3276,4856,3239,13426,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
23,"2016-04-24 00:00:00","2016-04-24 00:00:00",68,48,0,2798,4650,5335,3957,16740,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
24,"2016-04-25 00:00:00","2016-04-25 00:00:00",66.9,54,0,3463,5978,6845,4564,20850,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
45,"2016-04-16 00:00:00","2016-04-16 00:00:00",66,45,0,2384,4316,5624,4051,16375,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
46,"2016-04-17 00:00:00","2016-04-17 00:00:00",73.9,46,0,3147,4969,5867,4197,18180,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
47,"2016-04-18 00:00:00","2016-04-18 00:00:00",81,52,0,3871,6823,7432,4964,23090,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
48,"2016-04-19 00:00:00","2016-04-19 00:00:00",71.1,63,0,3501,6951,7834,5032,23318,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
49,"2016-04-20 00:00:00","2016-04-20 00:00:00",68,50,0,3450,6574,7639,4928,22591,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
50,"2016-04-21 00:00:00","2016-04-21 00:00:00",71.1,50,0,3436,6452,7426,4813,22127,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
51,"2016-04-22 00:00:00","2016-04-22 00:00:00",78.1,63,T,2975,4907,6093,3862,17837,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
52,"2016-04-23 00:00:00","2016-04-23 00:00:00",70,61,0.16,2055,3276,4856,3239,13426,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
53,"2016-04-24 00:00:00","2016-04-24 00:00:00",68,48,0,2798,4650,5335,3957,16740,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
54,"2016-04-25 00:00:00","2016-04-25 00:00:00",66.9,54,0,3463,5978,6845,4564,20850,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
75,"2016-04-16 00:00:00","2016-04-16 00:00:00",66,45,0,2384,4316,5624,4051,16375,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
76,"2016-04-17 00:00:00","2016-04-17 00:00:00",73.9,46,0,3147,4969,5867,4197,18180,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
77,"2016-04-18 00:00:00","2016-04-18 00:00:00",81,52,0,3871,6823,7432,4964,23090,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
78,"2016-04-19 00:00:00","2016-04-19 00:00:00",71.1,63,0,3501,6951,7834,5032,23318,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
79,"2016-04-20 00:00:00","2016-04-20 00:00:00",68,50,0,3450,6574,7639,4928,22591,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
80,"2016-04-21 00:00:00","2016-04-21 00:00:00",71.1,50,0,3436,6452,7426,4813,22127,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
81,"2016-04-22 00:00:00","2016-04-22 00:00:00",78.1,63,T,2975,4907,6093,3862,17837,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
82,"2016-04-23 00:00:00","2016-04-23 00:00:00",70,61,0.16,2055,3276,4856,3239,13426,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
83,"2016-04-24 00:00:00","2016-04-24 00:00:00",68,48,0,2798,4650,5335,3957,16740,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
84,"2016-04-25 00:00:00","2016-04-25 00:00:00",66.9,54,0,3463,5978,6845,4564,20850,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
105,"2016-04-16 00:00:00","2016-04-16 00:00:00",66,45,0,2384,4316,5624,4051,16375,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
106,"2016-04-17 00:00:00","2016-04-17 00:00:00",73.9,46,0,3147,4969,5867,4197,18180,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
107,"2016-04-18 00:00:00","2016-04-18 00:00:00",81,52,0,3871,6823,7432,4964,23090,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
108,"2016-04-19 00:00:00","2016-04-19 00:00:00",71.1,63,0,3501,6951,7834,5032,23318,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
109,"2016-04-20 00:00:00","2016-04-20 00:00:00",68,50,0,3450,6574,7639,4928,22591,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
110,"2016-04-21 00:00:00","2016-04-21 00:00:00",71.1,50,0,3436,6452,7426,4813,22127,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
111,"2016-04-22 00:00:00","2016-04-22 00:00:00",78.1,63,T,2975,4907,6093,3862,17837,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
112,"2016-04-23 00:00:00","2016-04-23 00:00:00",70,61,0.16,2055,3276,4856,3239,13426,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
113,"2016-04-24 00:00:00","2016-04-24 00:00:00",68,48,0,2798,4650,5335,3957,16740,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
114,"2016-04-25 00:00:00","2016-04-25 00:00:00",66.9,54,0,3463,5978,6845,4564,20850,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
135,"2016-04-16 00:00:00","2016-04-16 00:00:00",66,45,0,2384,4316,5624,4051,16375,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
136,"2016-04-17 00:00:00","2016-04-17 00:00:00",73.9,46,0,3147,4969,5867,4197,18180,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
137,"2016-04-18 00:00:00","2016-04-18 00:00:00",81,52,0,3871,6823,7432,4964,23090,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
138,"2016-04-19 00:00:00","2016-04-19 00:00:00",71.1,63,0,3501,6951,7834,5032,23318,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
139,"2016-04-20 00:00:00","2016-04-20 00:00:00",68,50,0,3450,6574,7639,4928,22591,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
140,"2016-04-21 00:00:00","2016-04-21 00:00:00",71.1,50,0,3436,6452,7426,4813,22127,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
141,"2016-04-22 00:00:00","2016-04-22 00:00:00",78.1,63,T,2975,4907,6093,3862,17837,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
142,"2016-04-23 00:00:00","2016-04-23 00:00:00",70,61,0.16,2055,3276,4856,3239,13426,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
143,"2016-04-24 00:00:00","2016-04-24 00:00:00",68,48,0,2798,4650,5335,3957,16740,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
144,"2016-04-25 00:00:00","2016-04-25 00:00:00",66.9,54,0,3463,5978,6845,4564,20850,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
165,"2016-04-16 00:00:00","2016-04-16 00:00:00",66,45,0,2384,4316,5624,4051,16375,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
166,"2016-04-17 00:00:00","2016-04-17 00:00:00",73.9,46,0,3147,4969,5867,4197,18180,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
167,"2016-04-18 00:00:00","2016-04-18 00:00:00",81,52,0,3871,6823,7432,4964,23090,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
168,"2016-04-19 00:00:00","2016-04-19 00:00:00",71.1,63,0,3501,6951,7834,5032,23318,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
169,"2016-04-20 00:00:00","2016-04-20 00:00:00",68,50,0,3450,6574,7639,4928,22591,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
170,"2016-04-21 00:00:00","2016-04-21 00:00:00",71.1,50,0,3436,6452,7426,4813,22127,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
171,"2016-04-22 00:00:00","2016-04-22 00:00:00",78.1,63,T,2975,4907,6093,3862,17837,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
172,"2016-04-23 00:00:00","2016-04-23 00:00:00",70,61,0.16,2055,3276,4856,3239,13426,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
173,"2016-04-24 00:00:00","2016-04-24 00:00:00",68,48,0,2798,4650,5335,3957,16740,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
174,"2016-04-25 00:00:00","2016-04-25 00:00:00",66.9,54,0,3463,5978,6845,4564,20850,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
195,"2016-04-16 00:00:00","2016-04-16 00:00:00",66,45,0,2384,4316,5624,4051,16375,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
196,"2016-04-17 00:00:00","2016-04-17 00:00:00",73.9,46,0,3147,4969,5867,4197,18180,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
197,"2016-04-18 00:00:00","2016-04-18 00:00:00",81,52,0,3871,6823,7432,4964,23090,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
198,"2016-04-19 00:00:00","2016-04-19 00:00:00",71.1,63,0,3501,6951,7834,5032,23318,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
199,"2016-04-20 00:00:00","2016-04-20 00:00:00",68,50,0,3450,6574,7639,4928,22591,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
200,"2016-04-21 00:00:00","2016-04-21 00:00:00",71.1,50,0,3436,6452,7426,4813,22127,1,"2016-04-02 00:00:00","2016-04-02 00:00:00",55,48.9,0.15,827,1646,2565,1884,6922
